x,y,z
6.500297546386718750e+00,1.199997043609619141e+01,-1.500244140625000000e-01
6.600297451019287109e+00,1.209997081756591797e+01,-1.500244140625000000e-01
6.700297355651855469e+00,1.219997024536132812e+01,-1.500244140625000000e-01
6.800297737121582031e+00,1.229997062683105469e+01,-2.500000000000000000e-01
6.900297641754150391e+00,1.239997005462646484e+01,-2.500000000000000000e-01
7.000297546386718750e+00,1.249997043609619141e+01,-2.500000000000000000e-01
7.100297451019287109e+00,1.259997081756591797e+01,-2.785644531250000000e-01
7.200297355651855469e+00,1.269997024536132812e+01,-3.500976562500000000e-01
7.300297737121582031e+00,1.279997062683105469e+01,-3.500976562500000000e-01
7.400297641754150391e+00,1.289997005462646484e+01,-3.500976562500000000e-01
7.500297546386718750e+00,1.299997043609619141e+01,-4.499511718750000000e-01
7.600297451019287109e+00,1.309997081756591797e+01,-4.499511718750000000e-01
7.700297355651855469e+00,1.319997024536132812e+01,-4.499511718750000000e-01
7.800297737121582031e+00,1.329997062683105469e+01,-5.498046875000000000e-01
7.900297641754150391e+00,1.339997005462646484e+01,-5.498046875000000000e-01
8.000297546386718750e+00,1.349997043609619141e+01,-5.498046875000000000e-01
8.100297927856445312e+00,1.359997081756591797e+01,-5.498046875000000000e-01
8.200297355651855469e+00,1.369997024536132812e+01,-6.499023437500000000e-01
8.300297737121582031e+00,1.379997062683105469e+01,-6.499023437500000000e-01
8.400297164916992188e+00,1.389997005462646484e+01,-6.499023437500000000e-01
8.500297546386718750e+00,1.389997005462646484e+01,-6.499023437500000000e-01
8.600297927856445312e+00,1.389997005462646484e+01,-6.499023437500000000e-01
8.700297355651855469e+00,1.389997005462646484e+01,-6.499023437500000000e-01
8.800297737121582031e+00,1.399997043609619141e+01,-6.499023437500000000e-01
8.900297164916992188e+00,1.409997081756591797e+01,-6.499023437500000000e-01
9.000297546386718750e+00,1.419997024536132812e+01,-6.499023437500000000e-01
9.100297927856445312e+00,1.429997062683105469e+01,-6.499023437500000000e-01
9.200297355651855469e+00,1.439997005462646484e+01,-6.499023437500000000e-01
9.300297737121582031e+00,1.449997043609619141e+01,-6.499023437500000000e-01
9.400297164916992188e+00,1.459997081756591797e+01,-6.499023437500000000e-01
9.500297546386718750e+00,1.469997024536132812e+01,-6.499023437500000000e-01
9.600297927856445312e+00,1.479997062683105469e+01,-6.499023437500000000e-01
9.700297355651855469e+00,1.489997005462646484e+01,-6.499023437500000000e-01
9.800297737121582031e+00,1.499997043609619141e+01,-6.499023437500000000e-01
9.900297164916992188e+00,1.509997081756591797e+01,-6.499023437500000000e-01
1.000029754638671875e+01,1.519997024536132812e+01,-6.499023437500000000e-01
1.010029792785644531e+01,1.529997062683105469e+01,-6.499023437500000000e-01
1.020029735565185547e+01,1.539997005462646484e+01,-6.499023437500000000e-01
1.030029773712158203e+01,1.549997043609619141e+01,-6.499023437500000000e-01
1.040029716491699219e+01,1.559997081756591797e+01,-6.499023437500000000e-01
1.050029754638671875e+01,1.569997024536132812e+01,-6.499023437500000000e-01
1.060029792785644531e+01,1.579997062683105469e+01,-6.499023437500000000e-01
1.070029735565185547e+01,1.589997005462646484e+01,-6.464843750000000000e-01
1.080029773712158203e+01,1.599997043609619141e+01,-6.137695312500000000e-01
1.090029716491699219e+01,1.609996986389160156e+01,-5.791015625000000000e-01
1.100029754638671875e+01,1.619997024536132812e+01,-5.385742187500000000e-01
