x,y,z
7.134396076202392578e+00,-2.933717012405395508e+00,4.644531250000000000e+00
7.034396171569824219e+00,-2.833717107772827148e+00,4.699218750000000000e+00
6.934396266937255859e+00,-2.733716964721679688e+00,4.750000000000000000e+00
6.834395885467529297e+00,-2.733716964721679688e+00,4.785156250000000000e+00
6.734395980834960938e+00,-2.633717060089111328e+00,4.839843750000000000e+00
6.634396076202392578e+00,-2.533717155456542969e+00,4.882812500000000000e+00
6.534396171569824219e+00,-2.433717012405395508e+00,4.929687500000000000e+00
6.434396266937255859e+00,-2.333717107772827148e+00,4.992187500000000000e+00
6.334395885467529297e+00,-2.233716964721679688e+00,5.039062500000000000e+00
6.234395980834960938e+00,-2.133717060089111328e+00,5.078125000000000000e+00
6.134396076202392578e+00,-2.033717155456542969e+00,5.132812500000000000e+00
6.034396171569824219e+00,-2.033717155456542969e+00,5.171875000000000000e+00
5.934396266937255859e+00,-2.033717155456542969e+00,5.203125000000000000e+00
5.834395885467529297e+00,-2.133717060089111328e+00,5.218750000000000000e+00
5.734395980834960938e+00,-2.133717060089111328e+00,5.250000000000000000e+00
5.634396076202392578e+00,-2.033717155456542969e+00,5.304687500000000000e+00
5.534396171569824219e+00,-2.033717155456542969e+00,5.332031250000000000e+00
5.434396266937255859e+00,-2.033717155456542969e+00,5.367187500000000000e+00
5.334395885467529297e+00,-1.933717012405395508e+00,5.421875000000000000e+00
5.234395980834960938e+00,-1.933717012405395508e+00,5.445312500000000000e+00
5.134396076202392578e+00,-1.833717107772827148e+00,5.503906250000000000e+00
5.034396171569824219e+00,-1.833717107772827148e+00,5.535156250000000000e+00
4.934396266937255859e+00,-1.733717083930969238e+00,5.589843750000000000e+00
4.834395885467529297e+00,-1.633717060089111328e+00,5.648437500000000000e+00
4.734395980834960938e+00,-1.533717036247253418e+00,5.695312500000000000e+00
4.634396076202392578e+00,-1.533717036247253418e+00,5.726562500000000000e+00
4.534396171569824219e+00,-1.533717036247253418e+00,5.750000000000000000e+00
4.434396266937255859e+00,-1.433717012405395508e+00,5.804687500000000000e+00
4.334395885467529297e+00,-1.433717012405395508e+00,5.828125000000000000e+00
4.234395980834960938e+00,-1.433717012405395508e+00,5.863281250000000000e+00
4.134396076202392578e+00,-1.333717107772827148e+00,5.917968750000000000e+00
4.034396171569824219e+00,-1.233717083930969238e+00,5.972656250000000000e+00
3.934396028518676758e+00,-1.133717060089111328e+00,6.015625000000000000e+00
3.834396123886108398e+00,-1.033717036247253418e+00,6.074218750000000000e+00
3.734395980834960938e+00,-9.337170720100402832e-01,6.121093750000000000e+00
3.634396076202392578e+00,-8.337170481681823730e-01,6.179687500000000000e+00
3.534396171569824219e+00,-7.337170839309692383e-01,6.234375000000000000e+00
3.434396028518676758e+00,-6.337170600891113281e-01,6.277343750000000000e+00
3.334396123886108398e+00,-6.337170600891113281e-01,6.308593750000000000e+00
3.234395980834960938e+00,-6.337170600891113281e-01,6.339843750000000000e+00
3.134396076202392578e+00,-5.337170362472534180e-01,6.398437500000000000e+00
3.034396171569824219e+00,-4.337170720100402832e-01,6.453125000000000000e+00
2.934396028518676758e+00,-3.337170481681823730e-01,6.496093750000000000e+00
2.834396123886108398e+00,-2.337170541286468506e-01,6.546875000000000000e+00
2.734395980834960938e+00,-1.337170600891113281e-01,6.609375000000000000e+00
2.634396076202392578e+00,-3.371705859899520874e-02,6.644531250000000000e+00
2.534396171569824219e+00,6.628294289112091064e-02,6.695312500000000000e+00
2.434396028518676758e+00,1.662829369306564331e-01,6.750000000000000000e+00
2.334396123886108398e+00,2.662829458713531494e-01,6.750000000000000000e+00
2.234395980834960938e+00,3.662829399108886719e-01,6.750000000000000000e+00
2.134396076202392578e+00,4.662829339504241943e-01,6.750000000000000000e+00
2.134396076202392578e+00,5.662829279899597168e-01,6.750000000000000000e+00
2.134396076202392578e+00,6.662829518318176270e-01,6.750000000000000000e+00
2.134396076202392578e+00,7.662829160690307617e-01,6.750000000000000000e+00
2.134396076202392578e+00,8.662829399108886719e-01,6.750000000000000000e+00
2.134396076202392578e+00,9.662829637527465820e-01,6.750000000000000000e+00
2.134396076202392578e+00,1.066282987594604492e+00,6.750000000000000000e+00
2.134396076202392578e+00,1.166282892227172852e+00,6.750000000000000000e+00
2.234395980834960938e+00,1.266282916069030762e+00,6.750000000000000000e+00
2.334396123886108398e+00,1.366282939910888672e+00,6.750000000000000000e+00
2.434396028518676758e+00,1.466282963752746582e+00,6.750000000000000000e+00
2.534396171569824219e+00,1.566282987594604492e+00,6.750000000000000000e+00
2.634396076202392578e+00,1.666282892227172852e+00,6.750000000000000000e+00
2.734395980834960938e+00,1.766282916069030762e+00,6.750000000000000000e+00
2.834396123886108398e+00,1.866282939910888672e+00,6.750000000000000000e+00
2.934396028518676758e+00,1.966282963752746582e+00,6.750000000000000000e+00
3.034396171569824219e+00,1.966282963752746582e+00,6.750000000000000000e+00
3.134396076202392578e+00,1.966282963752746582e+00,6.750000000000000000e+00
3.234395980834960938e+00,1.966282963752746582e+00,6.750000000000000000e+00
3.334396123886108398e+00,1.866282939910888672e+00,6.757812500000000000e+00
3.434396028518676758e+00,1.766282916069030762e+00,6.796875000000000000e+00
3.534396171569824219e+00,1.666282892227172852e+00,6.855468750000000000e+00
3.634396076202392578e+00,1.566282987594604492e+00,6.906250000000000000e+00
3.734395980834960938e+00,1.466282963752746582e+00,6.945312500000000000e+00
3.834396123886108398e+00,1.366282939910888672e+00,7.000000000000000000e+00
3.934396028518676758e+00,1.266282916069030762e+00,7.054687500000000000e+00
4.034396171569824219e+00,1.266282916069030762e+00,7.085937500000000000e+00
4.134396076202392578e+00,1.166282892227172852e+00,7.136718750000000000e+00
4.234395980834960938e+00,1.066282987594604492e+00,7.191406250000000000e+00
4.334395885467529297e+00,9.662829637527465820e-01,7.246093750000000000e+00
4.434396266937255859e+00,9.662829637527465820e-01,7.273437500000000000e+00
4.534396171569824219e+00,8.662829399108886719e-01,7.328125000000000000e+00
4.634396076202392578e+00,8.662829399108886719e-01,7.359375000000000000e+00
4.734395980834960938e+00,7.662829160690307617e-01,7.406250000000000000e+00
4.834395885467529297e+00,6.662829518318176270e-01,7.453125000000000000e+00
4.934396266937255859e+00,5.662829279899597168e-01,7.503906250000000000e+00
5.034396171569824219e+00,4.662829339504241943e-01,7.558593750000000000e+00
5.134396076202392578e+00,3.662829399108886719e-01,7.613281250000000000e+00
5.234395980834960938e+00,2.662829458713531494e-01,7.660156250000000000e+00
5.334395885467529297e+00,1.662829369306564331e-01,7.710937500000000000e+00
5.434396266937255859e+00,1.662829369306564331e-01,7.742187500000000000e+00
5.534396171569824219e+00,6.628294289112091064e-02,7.800781250000000000e+00
5.634396076202392578e+00,-3.371705859899520874e-02,7.835937500000000000e+00
5.734395980834960938e+00,-3.371705859899520874e-02,7.878906250000000000e+00
5.834395885467529297e+00,-1.337170600891113281e-01,7.933593750000000000e+00
5.934396266937255859e+00,-2.337170541286468506e-01,7.988281250000000000e+00
6.034396171569824219e+00,-3.337170481681823730e-01,8.031250000000000000e+00
6.134396076202392578e+00,-4.337170720100402832e-01,8.078125000000000000e+00
6.234395980834960938e+00,-4.337170720100402832e-01,8.125000000000000000e+00
6.334395885467529297e+00,-4.337170720100402832e-01,8.156250000000000000e+00
6.434396266937255859e+00,-5.337170362472534180e-01,8.203125000000000000e+00
6.534396171569824219e+00,-5.337170362472534180e-01,8.242187500000000000e+00
6.634396076202392578e+00,-5.337170362472534180e-01,8.273437500000000000e+00
6.734395980834960938e+00,-6.337170600891113281e-01,8.320312500000000000e+00
6.834395885467529297e+00,-6.337170600891113281e-01,8.359375000000000000e+00
6.934396266937255859e+00,-5.337170362472534180e-01,8.367187500000000000e+00
7.034396171569824219e+00,-5.337170362472534180e-01,8.398437500000000000e+00
7.134396076202392578e+00,-6.337170600891113281e-01,8.453125000000000000e+00
7.234395980834960938e+00,-7.337170839309692383e-01,8.492187500000000000e+00
7.334395885467529297e+00,-8.337170481681823730e-01,8.546875000000000000e+00
7.434396266937255859e+00,-9.337170720100402832e-01,8.601562500000000000e+00
7.534396171569824219e+00,-1.033717036247253418e+00,8.648437500000000000e+00
7.634396076202392578e+00,-1.133717060089111328e+00,8.703125000000000000e+00
7.734395980834960938e+00,-1.233717083930969238e+00,8.750000000000000000e+00
7.834395885467529297e+00,-1.333717107772827148e+00,8.804687500000000000e+00
7.934396266937255859e+00,-1.433717012405395508e+00,8.859375000000000000e+00
8.034396171569824219e+00,-1.533717036247253418e+00,8.906250000000000000e+00
8.134395599365234375e+00,-1.633717060089111328e+00,8.960937500000000000e+00
8.234395980834960938e+00,-1.733717083930969238e+00,9.000000000000000000e+00
8.334396362304687500e+00,-1.833717107772827148e+00,9.000000000000000000e+00
8.434395790100097656e+00,-1.933717012405395508e+00,9.000000000000000000e+00
8.534396171569824219e+00,-2.033717155456542969e+00,9.000000000000000000e+00
8.634395599365234375e+00,-1.933717012405395508e+00,9.000000000000000000e+00
8.734395980834960938e+00,-1.833717107772827148e+00,9.000000000000000000e+00
8.734395980834960938e+00,-1.733717083930969238e+00,9.000000000000000000e+00
8.834396362304687500e+00,-1.633717060089111328e+00,9.000000000000000000e+00
8.834396362304687500e+00,-1.533717036247253418e+00,9.000000000000000000e+00
8.934395790100097656e+00,-1.433717012405395508e+00,9.000000000000000000e+00
9.034396171569824219e+00,-1.333717107772827148e+00,9.000000000000000000e+00
9.034396171569824219e+00,-1.233717083930969238e+00,9.000000000000000000e+00
9.034396171569824219e+00,-1.133717060089111328e+00,9.000000000000000000e+00
9.134395599365234375e+00,-1.033717036247253418e+00,9.000000000000000000e+00
9.134395599365234375e+00,-9.337170720100402832e-01,9.000000000000000000e+00
9.234395980834960938e+00,-8.337170481681823730e-01,9.000000000000000000e+00
9.334396362304687500e+00,-7.337170839309692383e-01,9.000000000000000000e+00
9.334396362304687500e+00,-6.337170600891113281e-01,9.000000000000000000e+00
